gold_id,task_type,stratum_index,independent_review_required,source_reference,context_before,user_query,ai_context,expected_route,expected_entity_id,expected_entity_name,expected_entity_type,expected_broad_topic,expected_behavior,expected_interest_signal,annotator_1,annotator_2,adjudicator,review_status,notes
G038,cleaning_route,38,no,,,,,,,,,,,,,,,,unlabeled,
G039,cleaning_route,39,no,,,,,,,,,,,,,,,,unlabeled,
G040,cleaning_route,40,yes,,,,,,,,,,,,,,,,unlabeled,
G041,cleaning_route,41,no,,,,,,,,,,,,,,,,unlabeled,
G042,cleaning_route,42,no,,,,,,,,,,,,,,,,unlabeled,
G043,cleaning_route,43,no,,,,,,,,,,,,,,,,unlabeled,
G044,cleaning_route,44,no,,,,,,,,,,,,,,,,unlabeled,
G045,cleaning_route,45,yes,,,,,,,,,,,,,,,,unlabeled,
G046,cleaning_route,46,no,,,,,,,,,,,,,,,,unlabeled,
G047,cleaning_route,47,no,,,,,,,,,,,,,,,,unlabeled,
G048,cleaning_route,48,no,,,,,,,,,,,,,,,,unlabeled,
G049,cleaning_route,49,no,,,,,,,,,,,,,,,,unlabeled,
G050,cleaning_route,50,yes,,,,,,,,,,,,,,,,unlabeled,
G051,cleaning_route,51,no,,,,,,,,,,,,,,,,unlabeled,
G052,cleaning_route,52,no,,,,,,,,,,,,,,,,unlabeled,
G053,cleaning_route,53,no,,,,,,,,,,,,,,,,unlabeled,
G054,cleaning_route,54,no,,,,,,,,,,,,,,,,unlabeled,
G055,cleaning_route,55,yes,,,,,,,,,,,,,,,,unlabeled,
G056,cleaning_route,56,no,,,,,,,,,,,,,,,,unlabeled,
G057,cleaning_route,57,no,,,,,,,,,,,,,,,,unlabeled,
G058,cleaning_route,58,no,,,,,,,,,,,,,,,,unlabeled,
G059,cleaning_route,59,no,,,,,,,,,,,,,,,,unlabeled,
G060,cleaning_route,60,yes,,,,,,,,,,,,,,,,unlabeled,
G061,cleaning_route,61,no,,,,,,,,,,,,,,,,unlabeled,
G062,cleaning_route,62,no,,,,,,,,,,,,,,,,unlabeled,
G063,cleaning_route,63,no,,,,,,,,,,,,,,,,unlabeled,
G064,cleaning_route,64,no,,,,,,,,,,,,,,,,unlabeled,
G065,cleaning_route,65,yes,,,,,,,,,,,,,,,,unlabeled,
G066,cleaning_route,66,no,,,,,,,,,,,,,,,,unlabeled,
G067,cleaning_route,67,no,,,,,,,,,,,,,,,,unlabeled,
G068,cleaning_route,68,no,,,,,,,,,,,,,,,,unlabeled,
G069,cleaning_route,69,no,,,,,,,,,,,,,,,,unlabeled,
G070,cleaning_route,70,yes,,,,,,,,,,,,,,,,unlabeled,
G071,cleaning_route,71,no,,,,,,,,,,,,,,,,unlabeled,
G072,cleaning_route,72,no,,,,,,,,,,,,,,,,unlabeled,
G073,cleaning_route,73,no,,,,,,,,,,,,,,,,unlabeled,
G074,cleaning_route,74,no,,,,,,,,,,,,,,,,unlabeled,
G075,cleaning_route,75,yes,,,,,,,,,,,,,,,,unlabeled,
G076,cleaning_route,76,no,,,,,,,,,,,,,,,,unlabeled,
G077,cleaning_route,77,no,,,,,,,,,,,,,,,,unlabeled,
G078,cleaning_route,78,no,,,,,,,,,,,,,,,,unlabeled,
G079,cleaning_route,79,no,,,,,,,,,,,,,,,,unlabeled,
G080,cleaning_route,80,yes,,,,,,,,,,,,,,,,unlabeled,
G081,cleaning_route,81,no,,,,,,,,,,,,,,,,unlabeled,
G082,cleaning_route,82,no,,,,,,,,,,,,,,,,unlabeled,
G083,cleaning_route,83,no,,,,,,,,,,,,,,,,unlabeled,
G084,cleaning_route,84,no,,,,,,,,,,,,,,,,unlabeled,
G085,cleaning_route,85,yes,,,,,,,,,,,,,,,,unlabeled,
G086,cleaning_route,86,no,,,,,,,,,,,,,,,,unlabeled,
G087,cleaning_route,87,no,,,,,,,,,,,,,,,,unlabeled,
G088,cleaning_route,88,no,,,,,,,,,,,,,,,,unlabeled,
G089,cleaning_route,89,no,,,,,,,,,,,,,,,,unlabeled,
G090,cleaning_route,90,yes,,,,,,,,,,,,,,,,unlabeled,
G091,cleaning_route,91,no,,,,,,,,,,,,,,,,unlabeled,
G092,cleaning_route,92,no,,,,,,,,,,,,,,,,unlabeled,
G093,cleaning_route,93,no,,,,,,,,,,,,,,,,unlabeled,
G094,cleaning_route,94,no,,,,,,,,,,,,,,,,unlabeled,
G095,cleaning_route,95,yes,,,,,,,,,,,,,,,,unlabeled,
G096,cleaning_route,96,no,,,,,,,,,,,,,,,,unlabeled,
G097,cleaning_route,97,no,,,,,,,,,,,,,,,,unlabeled,
G098,cleaning_route,98,no,,,,,,,,,,,,,,,,unlabeled,
G099,cleaning_route,99,no,,,,,,,,,,,,,,,,unlabeled,
G100,cleaning_route,100,yes,,,,,,,,,,,,,,,,unlabeled,
G101,cleaning_route,101,no,,,,,,,,,,,,,,,,unlabeled,
G102,cleaning_route,102,no,,,,,,,,,,,,,,,,unlabeled,
G103,cleaning_route,103,no,,,,,,,,,,,,,,,,unlabeled,
G104,cleaning_route,104,no,,,,,,,,,,,,,,,,unlabeled,
G105,cleaning_route,105,yes,,,,,,,,,,,,,,,,unlabeled,
G106,cleaning_route,106,no,,,,,,,,,,,,,,,,unlabeled,
G107,cleaning_route,107,no,,,,,,,,,,,,,,,,unlabeled,
G108,cleaning_route,108,no,,,,,,,,,,,,,,,,unlabeled,
G109,cleaning_route,109,no,,,,,,,,,,,,,,,,unlabeled,
G110,cleaning_route,110,yes,,,,,,,,,,,,,,,,unlabeled,
G111,cleaning_route,111,no,,,,,,,,,,,,,,,,unlabeled,
G112,cleaning_route,112,no,,,,,,,,,,,,,,,,unlabeled,
G113,cleaning_route,113,no,,,,,,,,,,,,,,,,unlabeled,
G114,cleaning_route,114,no,,,,,,,,,,,,,,,,unlabeled,
G115,cleaning_route,115,yes,,,,,,,,,,,,,,,,unlabeled,
G116,cleaning_route,116,no,,,,,,,,,,,,,,,,unlabeled,
G117,cleaning_route,117,no,,,,,,,,,,,,,,,,unlabeled,
G118,cleaning_route,118,no,,,,,,,,,,,,,,,,unlabeled,
G119,cleaning_route,119,no,,,,,,,,,,,,,,,,unlabeled,
G120,cleaning_route,120,yes,,,,,,,,,,,,,,,,unlabeled,
G121,cleaning_route,121,no,,,,,,,,,,,,,,,,unlabeled,
G122,cleaning_route,122,no,,,,,,,,,,,,,,,,unlabeled,
G123,cleaning_route,123,no,,,,,,,,,,,,,,,,unlabeled,
G124,cleaning_route,124,no,,,,,,,,,,,,,,,,unlabeled,
G125,cleaning_route,125,yes,,,,,,,,,,,,,,,,unlabeled,
G126,cleaning_route,126,no,,,,,,,,,,,,,,,,unlabeled,
G127,cleaning_route,127,no,,,,,,,,,,,,,,,,unlabeled,
G128,cleaning_route,128,no,,,,,,,,,,,,,,,,unlabeled,
G129,cleaning_route,129,no,,,,,,,,,,,,,,,,unlabeled,
G130,cleaning_route,130,yes,,,,,,,,,,,,,,,,unlabeled,
G131,cleaning_route,131,no,,,,,,,,,,,,,,,,unlabeled,
G132,cleaning_route,132,no,,,,,,,,,,,,,,,,unlabeled,
G133,cleaning_route,133,no,,,,,,,,,,,,,,,,unlabeled,
G134,cleaning_route,134,no,,,,,,,,,,,,,,,,unlabeled,
G135,cleaning_route,135,yes,,,,,,,,,,,,,,,,unlabeled,
G136,cleaning_route,136,no,,,,,,,,,,,,,,,,unlabeled,
G137,cleaning_route,137,no,,,,,,,,,,,,,,,,unlabeled,
G138,cleaning_route,138,no,,,,,,,,,,,,,,,,unlabeled,
G139,cleaning_route,139,no,,,,,,,,,,,,,,,,unlabeled,
G140,cleaning_route,140,yes,,,,,,,,,,,,,,,,unlabeled,
G141,cleaning_route,141,no,,,,,,,,,,,,,,,,unlabeled,
G142,cleaning_route,142,no,,,,,,,,,,,,,,,,unlabeled,
G143,cleaning_route,143,no,,,,,,,,,,,,,,,,unlabeled,
G144,cleaning_route,144,no,,,,,,,,,,,,,,,,unlabeled,
G145,cleaning_route,145,yes,,,,,,,,,,,,,,,,unlabeled,
G146,cleaning_route,146,no,,,,,,,,,,,,,,,,unlabeled,
G147,cleaning_route,147,no,,,,,,,,,,,,,,,,unlabeled,
G148,cleaning_route,148,no,,,,,,,,,,,,,,,,unlabeled,
G149,cleaning_route,149,no,,,,,,,,,,,,,,,,unlabeled,
G150,cleaning_route,150,yes,,,,,,,,,,,,,,,,unlabeled,
G151,known_entity,1,no,,,,,,,,,,,,,,,,unlabeled,
G152,known_entity,2,no,,,,,,,,,,,,,,,,unlabeled,
G153,known_entity,3,no,,,,,,,,,,,,,,,,unlabeled,
G154,known_entity,4,no,,,,,,,,,,,,,,,,unlabeled,
G155,known_entity,5,yes,,,,,,,,,,,,,,,,unlabeled,
G156,known_entity,6,no,,,,,,,,,,,,,,,,unlabeled,
G157,known_entity,7,no,,,,,,,,,,,,,,,,unlabeled,
G158,known_entity,8,no,,,,,,,,,,,,,,,,unlabeled,
G159,known_entity,9,no,,,,,,,,,,,,,,,,unlabeled,
G160,known_entity,10,yes,,,,,,,,,,,,,,,,unlabeled,
G161,known_entity,11,no,,,,,,,,,,,,,,,,unlabeled,
G162,known_entity,12,no,,,,,,,,,,,,,,,,unlabeled,
G163,known_entity,13,no,,,,,,,,,,,,,,,,unlabeled,
G164,known_entity,14,no,,,,,,,,,,,,,,,,unlabeled,
G165,known_entity,15,yes,,,,,,,,,,,,,,,,unlabeled,
G166,known_entity,16,no,,,,,,,,,,,,,,,,unlabeled,
G167,known_entity,17,no,,,,,,,,,,,,,,,,unlabeled,
G168,known_entity,18,no,,,,,,,,,,,,,,,,unlabeled,
G169,known_entity,19,no,,,,,,,,,,,,,,,,unlabeled,
G170,known_entity,20,yes,,,,,,,,,,,,,,,,unlabeled,
G171,known_entity,21,no,,,,,,,,,,,,,,,,unlabeled,
G172,known_entity,22,no,,,,,,,,,,,,,,,,unlabeled,
G173,known_entity,23,no,,,,,,,,,,,,,,,,unlabeled,
G174,known_entity,24,no,,,,,,,,,,,,,,,,unlabeled,
G175,known_entity,25,yes,,,,,,,,,,,,,,,,unlabeled,
G176,known_entity,26,no,,,,,,,,,,,,,,,,unlabeled,
G177,known_entity,27,no,,,,,,,,,,,,,,,,unlabeled,
G178,known_entity,28,no,,,,,,,,,,,,,,,,unlabeled,
G179,known_entity,29,no,,,,,,,,,,,,,,,,unlabeled,
G180,known_entity,30,yes,,,,,,,,,,,,,,,,unlabeled,
G181,known_entity,31,no,,,,,,,,,,,,,,,,unlabeled,
G182,known_entity,32,no,,,,,,,,,,,,,,,,unlabeled,
G183,known_entity,33,no,,,,,,,,,,,,,,,,unlabeled,
G184,known_entity,34,no,,,,,,,,,,,,,,,,unlabeled,
G185,known_entity,35,yes,,,,,,,,,,,,,,,,unlabeled,
G186,known_entity,36,no,,,,,,,,,,,,,,,,unlabeled,
G187,known_entity,37,no,,,,,,,,,,,,,,,,unlabeled,
G188,known_entity,38,no,,,,,,,,,,,,,,,,unlabeled,
G189,known_entity,39,no,,,,,,,,,,,,,,,,unlabeled,
G190,known_entity,40,yes,,,,,,,,,,,,,,,,unlabeled,
G191,known_entity,41,no,,,,,,,,,,,,,,,,unlabeled,
G192,known_entity,42,no,,,,,,,,,,,,,,,,unlabeled,
G193,known_entity,43,no,,,,,,,,,,,,,,,,unlabeled,
G194,known_entity,44,no,,,,,,,,,,,,,,,,unlabeled,
G195,known_entity,45,yes,,,,,,,,,,,,,,,,unlabeled,
G196,known_entity,46,no,,,,,,,,,,,,,,,,unlabeled,
G197,known_entity,47,no,,,,,,,,,,,,,,,,unlabeled,
G198,known_entity,48,no,,,,,,,,,,,,,,,,unlabeled,
G199,known_entity,49,no,,,,,,,,,,,,,,,,unlabeled,
G200,known_entity,50,yes,,,,,,,,,,,,,,,,unlabeled,
G201,known_entity,51,no,,,,,,,,,,,,,,,,unlabeled,
G202,known_entity,52,no,,,,,,,,,,,,,,,,unlabeled,
G203,known_entity,53,no,,,,,,,,,,,,,,,,unlabeled,
G204,known_entity,54,no,,,,,,,,,,,,,,,,unlabeled,
G205,known_entity,55,yes,,,,,,,,,,,,,,,,unlabeled,
G206,known_entity,56,no,,,,,,,,,,,,,,,,unlabeled,
G207,known_entity,57,no,,,,,,,,,,,,,,,,unlabeled,
G208,known_entity,58,no,,,,,,,,,,,,,,,,unlabeled,
G209,known_entity,59,no,,,,,,,,,,,,,,,,unlabeled,
G210,known_entity,60,yes,,,,,,,,,,,,,,,,unlabeled,
G211,known_entity,61,no,,,,,,,,,,,,,,,,unlabeled,
G212,known_entity,62,no,,,,,,,,,,,,,,,,unlabeled,
G213,known_entity,63,no,,,,,,,,,,,,,,,,unlabeled,
G214,known_entity,64,no,,,,,,,,,,,,,,,,unlabeled,
G215,known_entity,65,yes,,,,,,,,,,,,,,,,unlabeled,
G216,known_entity,66,no,,,,,,,,,,,,,,,,unlabeled,
G217,known_entity,67,no,,,,,,,,,,,,,,,,unlabeled,
G218,known_entity,68,no,,,,,,,,,,,,,,,,unlabeled,
G219,known_entity,69,no,,,,,,,,,,,,,,,,unlabeled,
G220,known_entity,70,yes,,,,,,,,,,,,,,,,unlabeled,
G221,known_entity,71,no,,,,,,,,,,,,,,,,unlabeled,
G222,known_entity,72,no,,,,,,,,,,,,,,,,unlabeled,
G223,known_entity,73,no,,,,,,,,,,,,,,,,unlabeled,
G224,known_entity,74,no,,,,,,,,,,,,,,,,unlabeled,
G225,known_entity,75,yes,,,,,,,,,,,,,,,,unlabeled,
G226,known_entity,76,no,,,,,,,,,,,,,,,,unlabeled,
G227,known_entity,77,no,,,,,,,,,,,,,,,,unlabeled,
G228,known_entity,78,no,,,,,,,,,,,,,,,,unlabeled,
G229,known_entity,79,no,,,,,,,,,,,,,,,,unlabeled,
G230,known_entity,80,yes,,,,,,,,,,,,,,,,unlabeled,
G231,known_entity,81,no,,,,,,,,,,,,,,,,unlabeled,
G232,known_entity,82,no,,,,,,,,,,,,,,,,unlabeled,
G233,known_entity,83,no,,,,,,,,,,,,,,,,unlabeled,
G234,known_entity,84,no,,,,,,,,,,,,,,,,unlabeled,
G235,known_entity,85,yes,,,,,,,,,,,,,,,,unlabeled,
G236,known_entity,86,no,,,,,,,,,,,,,,,,unlabeled,
G237,known_entity,87,no,,,,,,,,,,,,,,,,unlabeled,
G238,known_entity,88,no,,,,,,,,,,,,,,,,unlabeled,
G239,known_entity,89,no,,,,,,,,,,,,,,,,unlabeled,
G240,known_entity,90,yes,,,,,,,,,,,,,,,,unlabeled,
G241,known_entity,91,no,,,,,,,,,,,,,,,,unlabeled,
G242,known_entity,92,no,,,,,,,,,,,,,,,,unlabeled,
G243,known_entity,93,no,,,,,,,,,,,,,,,,unlabeled,
G244,known_entity,94,no,,,,,,,,,,,,,,,,unlabeled,
G245,known_entity,95,yes,,,,,,,,,,,,,,,,unlabeled,
G246,known_entity,96,no,,,,,,,,,,,,,,,,unlabeled,
G247,known_entity,97,no,,,,,,,,,,,,,,,,unlabeled,
G248,known_entity,98,no,,,,,,,,,,,,,,,,unlabeled,
G249,known_entity,99,no,,,,,,,,,,,,,,,,unlabeled,
G250,known_entity,100,yes,,,,,,,,,,,,,,,,unlabeled,
G251,known_entity,101,no,,,,,,,,,,,,,,,,unlabeled,
G252,known_entity,102,no,,,,,,,,,,,,,,,,unlabeled,
G253,known_entity,103,no,,,,,,,,,,,,,,,,unlabeled,
G254,known_entity,104,no,,,,,,,,,,,,,,,,unlabeled,
G255,known_entity,105,yes,,,,,,,,,,,,,,,,unlabeled,
G256,known_entity,106,no,,,,,,,,,,,,,,,,unlabeled,
G257,known_entity,107,no,,,,,,,,,,,,,,,,unlabeled,
G258,known_entity,108,no,,,,,,,,,,,,,,,,unlabeled,
G259,known_entity,109,no,,,,,,,,,,,,,,,,unlabeled,
G260,known_entity,110,yes,,,,,,,,,,,,,,,,unlabeled,
G261,known_entity,111,no,,,,,,,,,,,,,,,,unlabeled,
G262,known_entity,112,no,,,,,,,,,,,,,,,,unlabeled,
G263,known_entity,113,no,,,,,,,,,,,,,,,,unlabeled,
G264,known_entity,114,no,,,,,,,,,,,,,,,,unlabeled,
G265,known_entity,115,yes,,,,,,,,,,,,,,,,unlabeled,
G266,known_entity,116,no,,,,,,,,,,,,,,,,unlabeled,
G267,known_entity,117,no,,,,,,,,,,,,,,,,unlabeled,
G268,known_entity,118,no,,,,,,,,,,,,,,,,unlabeled,
G269,known_entity,119,no,,,,,,,,,,,,,,,,unlabeled,
G270,known_entity,120,yes,,,,,,,,,,,,,,,,unlabeled,
G271,known_entity,121,no,,,,,,,,,,,,,,,,unlabeled,
G272,known_entity,122,no,,,,,,,,,,,,,,,,unlabeled,
G273,known_entity,123,no,,,,,,,,,,,,,,,,unlabeled,
G274,known_entity,124,no,,,,,,,,,,,,,,,,unlabeled,
G275,known_entity,125,yes,,,,,,,,,,,,,,,,unlabeled,
G276,known_entity,126,no,,,,,,,,,,,,,,,,unlabeled,
G277,known_entity,127,no,,,,,,,,,,,,,,,,unlabeled,
G278,known_entity,128,no,,,,,,,,,,,,,,,,unlabeled,
G279,known_entity,129,no,,,,,,,,,,,,,,,,unlabeled,
G280,known_entity,130,yes,,,,,,,,,,,,,,,,unlabeled,
G281,known_entity,131,no,,,,,,,,,,,,,,,,unlabeled,
G282,known_entity,132,no,,,,,,,,,,,,,,,,unlabeled,
G283,known_entity,133,no,,,,,,,,,,,,,,,,unlabeled,
G284,known_entity,134,no,,,,,,,,,,,,,,,,unlabeled,
G285,known_entity,135,yes,,,,,,,,,,,,,,,,unlabeled,
G286,known_entity,136,no,,,,,,,,,,,,,,,,unlabeled,
G287,known_entity,137,no,,,,,,,,,,,,,,,,unlabeled,
G288,known_entity,138,no,,,,,,,,,,,,,,,,unlabeled,
G289,known_entity,139,no,,,,,,,,,,,,,,,,unlabeled,
G290,known_entity,140,yes,,,,,,,,,,,,,,,,unlabeled,
G291,known_entity,141,no,,,,,,,,,,,,,,,,unlabeled,
G292,known_entity,142,no,,,,,,,,,,,,,,,,unlabeled,
G293,known_entity,143,no,,,,,,,,,,,,,,,,unlabeled,
G294,known_entity,144,no,,,,,,,,,,,,,,,,unlabeled,
G295,known_entity,145,yes,,,,,,,,,,,,,,,,unlabeled,
G296,known_entity,146,no,,,,,,,,,,,,,,,,unlabeled,
G297,known_entity,147,no,,,,,,,,,,,,,,,,unlabeled,
G298,known_entity,148,no,,,,,,,,,,,,,,,,unlabeled,
G299,known_entity,149,no,,,,,,,,,,,,,,,,unlabeled,
G300,known_entity,150,yes,,,,,,,,,,,,,,,,unlabeled,
G301,ambiguous_alias,1,no,,,,,,,,,,,,,,,,unlabeled,
G302,ambiguous_alias,2,no,,,,,,,,,,,,,,,,unlabeled,
G303,ambiguous_alias,3,no,,,,,,,,,,,,,,,,unlabeled,
G304,ambiguous_alias,4,no,,,,,,,,,,,,,,,,unlabeled,
G305,ambiguous_alias,5,yes,,,,,,,,,,,,,,,,unlabeled,
G306,ambiguous_alias,6,no,,,,,,,,,,,,,,,,unlabeled,
G307,ambiguous_alias,7,no,,,,,,,,,,,,,,,,unlabeled,
G308,ambiguous_alias,8,no,,,,,,,,,,,,,,,,unlabeled,
G309,ambiguous_alias,9,no,,,,,,,,,,,,,,,,unlabeled,
G310,ambiguous_alias,10,yes,,,,,,,,,,,,,,,,unlabeled,
G311,ambiguous_alias,11,no,,,,,,,,,,,,,,,,unlabeled,
G312,ambiguous_alias,12,no,,,,,,,,,,,,,,,,unlabeled,
G313,ambiguous_alias,13,no,,,,,,,,,,,,,,,,unlabeled,
G314,ambiguous_alias,14,no,,,,,,,,,,,,,,,,unlabeled,
G315,ambiguous_alias,15,yes,,,,,,,,,,,,,,,,unlabeled,
G316,ambiguous_alias,16,no,,,,,,,,,,,,,,,,unlabeled,
G317,ambiguous_alias,17,no,,,,,,,,,,,,,,,,unlabeled,
G318,ambiguous_alias,18,no,,,,,,,,,,,,,,,,unlabeled,
G319,ambiguous_alias,19,no,,,,,,,,,,,,,,,,unlabeled,
G320,ambiguous_alias,20,yes,,,,,,,,,,,,,,,,unlabeled,
G321,ambiguous_alias,21,no,,,,,,,,,,,,,,,,unlabeled,
G322,ambiguous_alias,22,no,,,,,,,,,,,,,,,,unlabeled,
G323,ambiguous_alias,23,no,,,,,,,,,,,,,,,,unlabeled,
G324,ambiguous_alias,24,no,,,,,,,,,,,,,,,,unlabeled,
G325,ambiguous_alias,25,yes,,,,,,,,,,,,,,,,unlabeled,
G326,ambiguous_alias,26,no,,,,,,,,,,,,,,,,unlabeled,
G327,ambiguous_alias,27,no,,,,,,,,,,,,,,,,unlabeled,
G328,ambiguous_alias,28,no,,,,,,,,,,,,,,,,unlabeled,
G329,ambiguous_alias,29,no,,,,,,,,,,,,,,,,unlabeled,
G330,ambiguous_alias,30,yes,,,,,,,,,,,,,,,,unlabeled,
G331,ambiguous_alias,31,no,,,,,,,,,,,,,,,,unlabeled,
G332,ambiguous_alias,32,no,,,,,,,,,,,,,,,,unlabeled,
G333,ambiguous_alias,33,no,,,,,,,,,,,,,,,,unlabeled,
G334,ambiguous_alias,34,no,,,,,,,,,,,,,,,,unlabeled,
G335,ambiguous_alias,35,yes,,,,,,,,,,,,,,,,unlabeled,
G336,ambiguous_alias,36,no,,,,,,,,,,,,,,,,unlabeled,
G337,ambiguous_alias,37,no,,,,,,,,,,,,,,,,unlabeled,
G338,ambiguous_alias,38,no,,,,,,,,,,,,,,,,unlabeled,
G339,ambiguous_alias,39,no,,,,,,,,,,,,,,,,unlabeled,
G340,ambiguous_alias,40,yes,,,,,,,,,,,,,,,,unlabeled,
G341,ambiguous_alias,41,no,,,,,,,,,,,,,,,,unlabeled,
G342,ambiguous_alias,42,no,,,,,,,,,,,,,,,,unlabeled,
G343,ambiguous_alias,43,no,,,,,,,,,,,,,,,,unlabeled,
G344,ambiguous_alias,44,no,,,,,,,,,,,,,,,,unlabeled,
G345,ambiguous_alias,45,yes,,,,,,,,,,,,,,,,unlabeled,
G346,ambiguous_alias,46,no,,,,,,,,,,,,,,,,unlabeled,
G347,ambiguous_alias,47,no,,,,,,,,,,,,,,,,unlabeled,
G348,ambiguous_alias,48,no,,,,,,,,,,,,,,,,unlabeled,
G349,ambiguous_alias,49,no,,,,,,,,,,,,,,,,unlabeled,
G350,ambiguous_alias,50,yes,,,,,,,,,,,,,,,,unlabeled,
G351,emerging_entity,1,no,,,,,,,,,,,,,,,,unlabeled,
G352,emerging_entity,2,no,,,,,,,,,,,,,,,,unlabeled,
G353,emerging_entity,3,no,,,,,,,,,,,,,,,,unlabeled,
G354,emerging_entity,4,no,,,,,,,,,,,,,,,,unlabeled,
G355,emerging_entity,5,yes,,,,,,,,,,,,,,,,unlabeled,
G356,emerging_entity,6,no,,,,,,,,,,,,,,,,unlabeled,
G357,emerging_entity,7,no,,,,,,,,,,,,,,,,unlabeled,
G358,emerging_entity,8,no,,,,,,,,,,,,,,,,unlabeled,
G359,emerging_entity,9,no,,,,,,,,,,,,,,,,unlabeled,
G360,emerging_entity,10,yes,,,,,,,,,,,,,,,,unlabeled,
G361,emerging_entity,11,no,,,,,,,,,,,,,,,,unlabeled,
G362,emerging_entity,12,no,,,,,,,,,,,,,,,,unlabeled,
G363,emerging_entity,13,no,,,,,,,,,,,,,,,,unlabeled,
G364,emerging_entity,14,no,,,,,,,,,,,,,,,,unlabeled,
G365,emerging_entity,15,yes,,,,,,,,,,,,,,,,unlabeled,
G366,emerging_entity,16,no,,,,,,,,,,,,,,,,unlabeled,
G367,emerging_entity,17,no,,,,,,,,,,,,,,,,unlabeled,
G368,emerging_entity,18,no,,,,,,,,,,,,,,,,unlabeled,
G369,emerging_entity,19,no,,,,,,,,,,,,,,,,unlabeled,
G370,emerging_entity,20,yes,,,,,,,,,,,,,,,,unlabeled,
G371,emerging_entity,21,no,,,,,,,,,,,,,,,,unlabeled,
G372,emerging_entity,22,no,,,,,,,,,,,,,,,,unlabeled,
G373,emerging_entity,23,no,,,,,,,,,,,,,,,,unlabeled,
G374,emerging_entity,24,no,,,,,,,,,,,,,,,,unlabeled,
G375,emerging_entity,25,yes,,,,,,,,,,,,,,,,unlabeled,
G376,emerging_entity,26,no,,,,,,,,,,,,,,,,unlabeled,
G377,emerging_entity,27,no,,,,,,,,,,,,,,,,unlabeled,
G378,emerging_entity,28,no,,,,,,,,,,,,,,,,unlabeled,
G379,emerging_entity,29,no,,,,,,,,,,,,,,,,unlabeled,
G380,emerging_entity,30,yes,,,,,,,,,,,,,,,,unlabeled,
G381,emerging_entity,31,no,,,,,,,,,,,,,,,,unlabeled,
G382,emerging_entity,32,no,,,,,,,,,,,,,,,,unlabeled,
G383,emerging_entity,33,no,,,,,,,,,,,,,,,,unlabeled,
G384,emerging_entity,34,no,,,,,,,,,,,,,,,,unlabeled,
G385,emerging_entity,35,yes,,,,,,,,,,,,,,,,unlabeled,
